1,1,3.85K,1
2,2,769K,220
3,3,867K,309
4,4,307K,99
8,8,715K,682
9,9,1.11M,603
10,10,863K,184
12,12,432K,382
13,13,333K,152
15,15,399K,250
16,16,209K,177
17,17,222K,52
18,18,259722,157
19,19,193633,154
21,21,430K,282
22,22,233170,161
23,23,190K,217
26,26,189K,159
28,28,185485,142
31,31,77.6K,156
32,32,219555,64
39,39,163K,127
40,40,242K,265
41,41,664K,143
42,42,1.5M,524
43,43,,
44,44,116K,135
45,45,72.1K,54
46,46,6.52K,1
47,47,431K,318
49,49,2.01M,70
50,50,469K,150
51,51,310K,165
52,52,313K,219
53,53,711K,52
54,54,745K,175
55,55,257K,38
56,56,203K,60
57,57,323K,123
58,58,434K,84
60,60,197K,66
65,65,598K,108
66,66,119K,28
67,67,170K,26
68,68,88.7K,53
69,69,97896,56
70,70,56.6K,63
73,73,75.4K,137
75,75,,
76,76,,
77,77,,
78,78,32356,20
84,84,790K,50
85,85,,
86,86,264K,460
87,87,1.47M,214
88,88,123K,144
89,89,48.7K,95
90,90,25.3K,55
91,91,,
92,92,436K,255
93,93,295K,55
94,94,133K,21
95,95,63.7K,16
96,96,83.8K,11
97,97,293K,38
98,98,146K,31
99,152,3.56M,1000
100,151,2.9M,812
101,149,966K,85
102,125,223K,41
103,6,2.57M,187
104,126,2.03M,742
105,127,2.53M,178
106,128,1.37M,143
107,129,1.04M,502
108,130,558K,445
109,131,1.87M,433
110,132,,
111,133,1.61M,220
112,134,73.8K,1
113,135,,
114,136,2.65M,53
115,137,13.9M,48
116,138,3.72M,19
117,139,3.1M,35
118,140,259K,377
119,141,,
120,142,22.4K,1
121,120,230K,40
122,143,228K,338
123,144,,
124,145,,
125,146,,
126,147,204K,79
127,148,,
128,150,50.6K,80
129,153,106K,93
130,154,149K,18
131,155,1.04M,51
132,156,768K,262
133,157,1.21M,35
134,158,20.6K,9
135,159,46.7K,116
136,160,3.61M,329
137,161,685K,209
138,162,38K,73
139,163,7.01K,59
140,164,215K,222
141,165,,
142,166,356K,157
143,167,,
144,168,111K,58
145,169,120K,5
146,71,3.66M,23
147,5,232K,44
148,122,,
149,173,3.49M,1000
150,172,2.88M,813
151,170,254K,389
152,124,214K,14
153,123,957K,80
154,14,2.04M,763
155,7,1.39M,145
156,20,1.09M,513
157,29,1.63M,222
158,27,1.51M,508
159,63,2.68M,55
160,64,13.8M,51
161,72,3.1M,38
162,62,5.69K,1
163,109,259K,404
164,116,91.3K,226
165,115,48.2K,1
166,114,124K,37
167,110,24.6K,7
